Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1.[Cl-],33.7798,39.4476,39.5623
CCN1C(=O)c2ccccc2C1Nc1ccc(OCCN2CCCCC2)cc1,40.2127,29.0859,32.3509
Cc1ccc(/C=N/n2c(-c3ccccc3)csc2=S)cc1,54.4982,47.3014,53.7555
Nc1c(NC/C=C\COc2cc(CN3CCCCC3)ccn2)c(=O)c1=O,29.7386,25.5783,26.7272
CCOC(=O)Cn1cccc1-c1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)s1,51.1573,47.1003,46.9184
CCNC(=O)NCCCOc1cccc(CN2CCCCC2)c1,13.6173,4.9847,9.2544
Cc1ccccc1C(=O)N1CC/C(=N\OS(=O)(=O)[O-])c2ccc(Cl)cc21.[K+],23.3702,14.6553,0.3206
CC(N[NH3+])c1ccccc1.O=S(=O)([O-])O,21.466,20.4102,25.9237
CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)c1ccccc1,85.2313,78.1118,67.8612
O=C(CCCN1CCN(c2ccc(F)cc2)CC1)NC1c2ccccc2CSc2ccccc21,52.1098,34.8153,44.861
COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,61.5213,72.9242,61.658
CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C.[Br-],6.0139,3.1992,1.1554
Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1,12.9638,9.7904,20.8795
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCC3)c1,14.796,15.8285,15.2417
Cc1nnc2n1-c1sc(CCc3ccc(CC(C)C)cc3)cc1C(c1ccccc1Cl)=NC2C,31.2597,35.1934,28.2676
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-],44.6886,55.788,53.0536
CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,67.3989,62.29,65.1126
O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,51.6337,52.6016,51.4064
CC(COc1ccccc1)NN,8.0995,2.1551,0.3957
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,72.4487,69.6303,72.6401
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,4.5913,1.4724,9.9096
CC(CCc1ccc2c(c1)OCO2)NN.Cl,23.884,32.724,34.5013
CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)CC1)NC(=O)c1ccccc1,87.7606,83.828,87.5291
CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,14.4851,32.4715,14.1466
N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4C[C@H]4F)c3c2Cl)CC12CC2,4.221,0.2386,31.1865
CC(C(O)c1ccccc1)N(C)CCOC(c1ccccc1)c1ccccc1,55.8642,59.9783,57.6242
C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,13.6477,16.1154,24.1258
CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O,0.2604,2.4115,22.8051
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,36.5599,45.4444,29.5774
C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3C[C@@H](O)CC[C@]3(C)[C@H]1CC2,21.7443,8.6808,12.698
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,12.0734,13.8269,26.1799
COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1.Cl,85.8526,74.1528,90.2141
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,7.7668,10.43,17.768
CCOS(C)(=O)=O,4.6294,2.6564,2.3126
CCOP(=S)(CC)Sc1ccccc1,73.7586,64.7555,54.6997
CO[Si](CCCCl)(OC)OC,72.6376,67.0668,56.1945
ClC/C=C/CCl,0.1092,0.1039,0.6691
