Canonical_Smiles,Inhibition
Cc1nc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)co1,38.0
Cc1nc(-c2cc(C(F)(F)F)ccc2[C@@H]2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)co1,42.0
Cc1ccc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4cccc(F)n4)ccc32)cn1,13.0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1nccs1,64.0
O=S(=O)(Nc1ccncn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1,11.0
O=S(=O)(Nc1ncc(F)cn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1,28.0
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3cc(F)ccn3)ccc21,23.0
Cc1ccc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ccncn4)ccc32)cn1,87.0
O=S(=O)(Nc1ccncn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)nc1,67.0
Cc1nc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4cccc(F)n4)ccc32)co1,44.0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)nc1,37.0
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3ncc(F)cn3)ccc21,0.0
O=S1(=O)CCN(c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)CC1,1.0
O=S(=O)(Nc1cccc(F)n1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1N1CCOCC1,27.0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-n1ccnn1,19.0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1,33.0
O=C1OCCN1c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21,12.0
O=S(=O)(Nc1ncc(F)cn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)nc1,48.0
O=S(=O)(Nc1ncccn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1,29.0
Cc1nc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ncc(F)cn4)ccc32)co1,3.0
Cc1ccc(-c2cc(C(F)(F)F)ccc2[C@H]2CCc3cc(S(=O)(=O)Nc4ncccn4)ccc32)cn1,11.0
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3cnccn3)ccc21,68.0
Cc1nc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ccncn4)ccc32)co1,86.0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cc1,17.0
O=S(=O)(Nc1ccncn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1N1CCOCC1,64.0
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3ccncn3)ccc21,37.0
Cc1ccc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ncccn4)ccc32)cn1,8.0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1N1CCNCC1,2.0
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21,28.0
CCN1CCc2cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)ccc2C1=O,12.36
Cc1ncsc1CCOc1cnc(-c2ccn[nH]2)nc1,15.0
Fc1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,81.0
N#Cc1cccc(COc2ccc(-c3ccn[nH]3)nc2)c1,52.0
CS(=O)(=O)c1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,11.0
Cc1ncsc1CCOc1ccc(-c2ccn[nH]2)nc1,25.0
N#Cc1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,38.0
Cc1ncsc1CCOc1ccc(-c2ccn[nH]2)cc1,32.0
CS(=O)(=O)c1cccc(COc2ccc(-c3ccn[nH]3)nc2)c1,13.0
COc1ccc(-c2cc(-c3ccn(Cc4ccc(C(=O)NO)cc4)n3)ccn2)cc1,89.66
COc1ccc(-c2cc(C(=O)NCc3ccc(C(=O)NO)cc3)ccn2)cc1,80.6
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,97.5
CCC(=O)N(CC(CC)N1CCC(c2ccccc2)CC1)c1ccccn1,5.57
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,98.0
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,25.0
CCC(c1ccc(-c2ccsc2Cl)cc1)n1ccnc1,97.0
CCC(c1ccc(-c2cscc2C)cc1F)n1ccnc1,97.0
CCC(c1ccc(-c2ccsc2)cc1)n1ccnc1,92.0
CC(c1ccc(-c2ccsc2)cc1)n1ccnc1,94.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cccc(OC)c1O,57.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC)ccc1O,88.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC(F)(F)F)ccc1O,39.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(F)ccc1OC,62.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1c(F)cccc1OC,87.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccc(C)o1,46.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccc(Cl)o1,75.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)CC1CC2C=CC1C2,26.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccsc1,82.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,89.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cccc2c1OCO2,84.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccn1,89.0
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccc1OC(F)(F)F,53.0
Clc1ccc2c(NCCCNCc3cccc4c3OCO4)ccnc2c1,70.0
COc1ccc(O)c(CNCCCNc2ccnc3cc(Cl)ccc23)c1,90.0
COc1cccc(CNCCCNc2ccnc3cc(Cl)ccc23)c1O,97.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccncc2)c1,96.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2cc[n+]([O-])cc2)c1,16.0
CC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2cc(C)cc(C)c2)ccn1,20.0
CN(C)CC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,19.0
CN(C)CCNCC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,29.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(Cl)c2)c1,60.0
CNC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2cc(C)cc(C)c2)ccn1,24.0
O=C(CO)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,17.0
O=C(CNCCCO)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,33.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(C#N)c2)c1,48.0
CSc1cc(CSc2ncccc2C(=O)Nc2cc(C)cc(C)c2)ccn1,69.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(N)c2)c1,21.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(NC(=O)CNCCCO)c2)c1,23.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(NC(=O)CN)c2)c1,10.0
CC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,38.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(F)c2)c1,40.0
Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(NC(=O)CNCCN(C)C)c2)c1,14.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCOC)c1,9.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccccc2)C2CC2)cc(OCCOC)c1,33.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ncccc2c1,85.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2cc(=O)n(C)c3cc(Cl)ccc23)C2CC2)cc(OCCOC)c1,9.0
COCCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,75.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cc(CCC#N)cc(Cl)c2Cl)C2CC2)cc1=O,52.0
COC(=O)NCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,45.0
COCCCc1cc(C)c(C)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,74.0
COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2c(F)cccc21,41.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cn(Cc3cccnc3)c3cccc(F)c23)C2CC2)cc1=O,61.0
CC(=O)NCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,97.0
COCCCc1cc(Br)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,15.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)cc(Br)c1C,22.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ccccc2n1,95.0
COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ccccc21,59.0
COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2c(Cl)cccc21,48.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2c[nH]c3cccc(F)c23)C2CC2)cc1=O,74.0
CCn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cc(CCCOC)cc(OCCOC)c2)C2CC2)cc1=O,70.0
COCCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,53.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cn(Cc3cccc(F)c3)c3cccc(F)c23)C2CC2)cc1=O,18.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cc(CCCC#N)cc(Cl)c2Cl)C2CC2)cc1=O,55.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ccccc2c1,54.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2cccnc2)C2CC2)cc(OCCOC)c1,75.0
COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2c(Br)cccc21,63.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)cc(OCCOC)c1,78.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2cc(=O)n(C)c3ccccc23)C2CC2)cc(OCCOC)c1,100.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cn(Cc3ccncc3)c3cccc(F)c23)C2CC2)cc1=O,44.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2cc(=O)n(C)c(C)c2C)C2CC2)cc(OCCOC)c1,41.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)cc1=O,61.0
COCCCc1cc(Cl)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,23.0
COCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,68.0
COCCNc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,71.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)cc(-c2ccccc2)c1,23.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cn(Cc3ccccc3)c3cccc(F)c23)C2CC2)cc1=O,19.0
Cn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cn(Cc3ccc(F)cc3)c3cccc(F)c23)C2CC2)cc1=O,16.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCOC)c1,27.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccccc2)C2CC2)cc(OCCOC)c1,0.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2ncccc2c1,16.0
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2cc(=O)n(C)c3cc(Cl)ccc23)C2CC2)cc(OCCOC)c1,4.0
COCCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,29.0
