Canonical_Smiles,Inhibition
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,71.0
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CCOC)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,87.0
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CNCCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,99.0
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,22.0
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,30.0
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,21.0
Cc1ccc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,62.0
COc1ccc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,20.0
Nc1ccc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,70.0
Cc1c(Br)cc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,42.0
Cc1c(N)cc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,42.0
O=C(Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1)C1CC1,14.0
O=C(Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1)c1cccs1,17.0
CNc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1C,41.0
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,28.0
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,22.0
Cc1ccc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,68.0
COc1ccc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,30.0
Nc1ccc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,82.0
Cc1c(Br)cc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,53.0
Cc1c(N)cc(-c2csc(=O)[nH]2)cc1S(=O)(=O)NC1CCCC1,46.0
O=C(Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1)C1CC1,21.0
O=C(Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1)c1cccs1,34.0
CNc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1C,47.0
C=CCOc1ccc(F)cc1[C@H]1C[C@@H]1CN.Cl,15.0
Cl.NC[C@H]1C[C@@H]1c1cc(F)ccc1OCCF,10.0
CC(C)n1c(=O)ccc2cnc(NC3CCC(O)CC3)nc21,13.0
CC(C)C(=O)NC1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,33.0
CCNC(=O)NC1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,16.0
CC(C)NC(=O)NC1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,14.0
CCNC(=O)NC1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,50.0
CC(C)NC(=O)NC1CCC(Nc2ncc3ccc(=O)n(C4CCCC4)c3n2)CC1,53.0
Cc1cc(-c2ccc(OC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,47.0
Cc1cc(-c2ccc(NCC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,50.0
Cc1cc(-c2ccc(SCC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,60.0
Cc1cc(-c2ccc(CCC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,45.0
Cc1cc(-c2ccc(OC(C)C(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,67.0
C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,3.4
CC1(C)CCC(C)(C)c2cc(C3(c4ccc(CCC(=O)O)cc4)SCCS3)ccc21,25.0
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,100.0
CNCCCc1cncc(CCc2cc(C)cc(N)n2)c1,58.0
C[C@@H]1c2ncn(-c3ccc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,74.0
C[C@@H]1c2ncn(-c3ccc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,4.0
CCN(CC)CCCCOc1cc2oc3cc(OCCCCN(CC)CC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,12.0
COc1c(OCCCCN2CCOCC2)cc2oc3cc(OCCCCN4CCOCC4)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,32.0
CCN(CC)CCOc1cc2oc3cc(OCCN(CC)CC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,20.0
CCN(CC)CCCCOc1cc2oc3cc(OCCCCN(CC)CC)c(OC)c(CC=C(C)C)c3c(=O)c2c(OCCCCN(CC)CC)c1CC=C(C)C,40.0
CCCN(CCC)CCCCOc1cc2oc3cc(OCCCCN(CCC)CCC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,0.0
COC(=O)C(CCCN=C(N)N)NC(=O)COc1cc2oc3cc(OCC(=O)NC(CCCN=C(N)N)C(=O)OC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,36.0
COc1c(OCC(=O)NC(CCCN=C(N)N)C(N)=O)cc2oc3cc(OCC(=O)NC(CCCN=C(N)N)C(N)=O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,42.0
CCN(CC)CCCCCCCOc1cc2oc3cc(OCCCCCCCN(CC)CC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,3.0
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(C)C,16.0
CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(C)(C)C,43.0
Fc1cccc(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)c1,37.0
Fc1cccc(-n2cnc3c(NCc4cccnc4)nc(N4CCOCC4)nc32)c1,74.0
Fc1ccc2[nH]c(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cccnc3)nc2c1F,86.0
CN1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(-c4cccnc4)c3n2)CC1,60.0
Fc1cc2nc(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cccnc3)[nH]c2cc1F,85.0
Fc1cc(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)ccn1,18.0
CN1CCN(c2nc(NCc3nc4c(F)c(F)ccc4[nH]3)c3ncn(-c4ccsc4)c3n2)CC1,34.0
Clc1cc2nc(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cccnc3)[nH]c2cc1Cl,88.0
