Canonical_Smiles,Inhibition
O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3,82.0127
CCN1C(=O)/C(=C2\SC(=S)N(CCCOC)C2=O)c2ccccc21,52.8656
CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,47.8371
Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1,15.4369
COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,86.4159
COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,55.5981
CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,26.0123
COc1ccc(Nc2nc(N)nc(CSc3n[nH]c(-c4ccccc4)n3)n2)cc1,45.0256
CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC,60.5391
CCOc1cc(NC(=O)C2CCCCC2)c(OCC)cc1NC(=O)c1ccco1,48.2702
Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1,98.9752
Cl.N/C(=N\O)C1COc2ccccc2O1,7.3462
COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,36.8849
CCc1nnc(SCc2ccc(OC(C)C)cc2)n1N,15.6183
CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,100.0
Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,42.0541
O=C(CSc1nnc2c(n1)[nH]c1ccc(F)cc12)OCc1ccccc1,33.7537
CCc1c(C)nc2ncnn2c1NCCc1ccc(OC)cc1,18.4169
CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1,2.8949
Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,20.427
Cc1ccc(-n2c(SCC(=O)N3CCOCC3)nnc2-c2cccnc2)cc1,28.0681
CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,1.8005
CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1,63.9902
CCOC(=O)c1cc2sc(C)cc2n1CC(=O)N1CCN(C(=O)c2ccco2)CC1,34.1747
Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccc(F)cc3)CC2)n1,15.1852
COc1cc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)cc(OC)c1OC,34.8494
CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1,32.3384
CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,69.1324
Cn1c(-c2ccc3c(c2)OCO3)cnc1NCc1ccccc1.O=C(O)C(=O)O,75.2693
Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1,9.0541
Cc1cccc(NC(=O)CSc2n[nH]c(-c3ccncc3)n2)c1,78.6198
Cl.O=C(CN1CCN(c2ncccn2)CC1)NCCC1=CCCCC1,10.3491
O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,54.6492
CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,6.4963
Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,1.7118
Cc1cccc(Nc2nc3c(c(=O)n(C)c(=O)n3C)n2CC(O)CO)c1,3.8867
CCOC(=O)c1c(NC(=O)CSc2nnnn2C)sc(C)c1C,50.8972
CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccncc2)c1,70.6204
CCn1c(Cc2ccccc2)nnc1SCC(=O)NC(C)(C)C,46.5667
CCOC(=O)c1ccc(NC(=O)C2CCCO2)cc1,7.734
CCC(C)(C)n1nnnc1C(C(C)C)N(CCCO)Cc1cc2cc(C)ccc2[nH]c1=O,94.7445
COc1cc2cc(CN(CCCO)S(=O)(=O)c3ccccc3Cl)c(=O)[nH]c2cc1OC,36.8962
CCc1cc2c(NCc3ccco3)ncnc2s1.Cl,8.9284
Nc1n[nH]c(-c2ccc(Br)cc2)c1Cl,10.8688
Cc1nn(C)c(C)c1CNC(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)(F)F,43.0085
CN(CCC#N)CC(=O)Nc1ccc(NC(=O)CN(C)CCC#N)cc1,0.9636
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,56.9417
COc1ccc(OC)c(NC(=O)C(CC(=O)O)NCc2ccco2)c1,3.5854
O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3,56.6869
CCCCOC(=O)CSc1nnc(-c2cc(OC)c(OC)c(OC)c2)o1,2.0388
COCCNC(=O)C(c1ccc(C)o1)N(CC1CCCO1)C(=O)Cn1nnc2ccccc21,2.62
COc1ccc(OC)c(S(=O)(=O)N2CCC(C(=O)Nc3ccc(C)c(C)c3)CC2)c1,73.357
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,2.9163
COc1ccc(-c2noc(C3CCCN(C(=O)c4ccccc4OC)C3)n2)cc1OC,51.2175
CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1cc(OC)ccc1OC,55.2974
COCc1nnc(NC(=O)CSc2ccc(C)cc2)s1,22.5964
Nc1ncc(-c2ccccc2)n1CC1CCCO1,63.58
CCCCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,24.2729
O=C(O)CCn1nnc(-c2cccs2)n1,12.8769
O=C(CSc1nc2ccccc2o1)Nc1ccccc1N1CCCCCC1,91.1511
Cn1c(=O)[nH]c(=O)c2c1nc(NCCCO)n2CCCc1ccccc1,3.152
CCOC(=O)CC(=O)CSc1nnc2c(n1)[nH]c1ccccc12,45.3562
O=C(NC1CCCC1)c1cccnc1N1CCCCCC1,30.7989
O=C(Cc1cccs1)N1CCC(c2nc3c(nnn3Cc3ccccc3Cl)c(=O)[nH]2)CC1,88.0239
COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21,79.8308
COc1ccc(S(=O)(=O)N2CCC(NC(=O)Nc3ccc(C)cc3)CC2)cc1,56.9996
COc1ccc(-c2csc(NC(=O)Cn3nc(C)cc3C)n2)cc1,17.9538
Cn1c(CNC(=O)Nc2ccccc2)nnc1SCc1ccccc1,27.4567
O=C(CSc1nnc(CNc2ccccc2)o1)N1CCCc2ccccc21,53.7176
CCCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3cc(OC)ccc3OC)C2C1,83.0141
CCC(=O)Nc1cccc(NC(=O)CSc2nnnn2Cc2ccccc2)c1,41.0065
COc1ccc(-c2cc(C(F)F)nc(-n3nc(C)cc3C)n2)cc1,54.2531
COc1ccc(Cl)cc1NC(=O)CN1C(=O)CSC1=O,64.3745
Cc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(C(=O)Cc5cccs5)CC4)nc32)cc1,72.6656
CC(C)c1ccc(-c2nnn(CCC(=O)O)n2)cc1,2.3839
O=C(OCCCN1CCCCC1)c1ccc(O)cc1,10.1158
O=C1CN=C(c2cccs2)c2c(sc3c2CCCC3)N1,25.5837
Clc1ccc(C(c2nnnn2C2CCCC2)N2CCN(Cc3ccncc3)CC2)cc1,93.5321
CCOC(=O)CSc1n[nH]c(-c2cccnc2)n1,22.5725
CC(C)C(C(=O)NCC1CCCO1)N(Cc1ccco1)C(=O)CNS(=O)(=O)c1ccc(F)cc1,79.054
CC(=O)Nc1ccc(-c2ccccc2)s1,5.0441
CCOc1ccc(-c2nnn(CC(=O)Nc3cc(OC)ccc3OC)n2)cc1OCC,66.33
N#CC1=C(N)OC2=C(C(=O)CCC2)C12CCC1(CC2)OCCO1,4.6302
COc1cc(C(=O)Nc2ccc3c(c2)OCCO3)c(-n2cnnn2)cc1OC,8.7888
O=C(O)C1C2C=CC3(CN(Cc4ccccn4)C(=O)C13)O2,4.1616
Cn1c(SCC(=O)NCc2ccc3c(c2)OCO3)nnc1-c1cc2ccccc2cc1O,100.0
Cc1cccc(NC(=O)N(Cc2nc3ccccc3c(=O)[nH]2)C2CCCC2)c1,28.7226
O=S(=O)(c1ccccc1)N1CCN(c2cc(-c3ccccc3)nc3ncnn23)CC1,22.9224
O=C(CSc1n[nH]c(-c2ccccc2O)n1)N1CCCc2ccccc21,91.4047
COc1ccccc1-n1c(SCC(=O)N2CCCC2)nc2cccnc21,25.5503
CN(C)c1ccc(N=Cc2nc(-c3ccccc3)oc2O)cc1,37.0234
COc1ccc(-c2nnn(CC(=O)N(CC(=O)NCCC(C)C)Cc3cccs3)n2)cc1OC,56.4323
Cc1n[nH]c(=O)nc1NCc1ccccc1Cl,6.1906
COc1ccc(N2CC(C(=O)OCC(=O)c3cccc(OC)c3)CC2=O)cc1,30.0854
COc1cccc(-c2cc3nc(-c4ccccc4)cc(N4CCC5(CC4)OCCO5)n3n2)c1,12.0639
CCOC(=O)Cc1cc(=O)n2[nH]c(C)c(-c3ccccc3)c2n1,12.0547
CCOc1cccc(/C(O)=C2/C(=O)C(=O)N(Cc3ccco3)C2c2ccncc2)c1,11.6253
O=C(NC1CCCCC1)C(c1cccs1)N(Cc1cccs1)C(=O)c1ccco1,87.6696
COc1n[nH]c2nncnc12,1.5543
COc1ccc(CNC(=O)CN(CC2CCCO2)C(=O)CNS(=O)(=O)c2ccccc2)cc1,53.5253
COc1ccccc1CN(Cc1cc2cc(C)cc(C)c2[nH]c1=O)Cc1nnnn1CC1CCCO1,59.8304
COCCCN1C(=O)C(=O)/C(=C(/O)c2ccc(OC(C)C)c(C)c2)C1c1ccncc1,0.6561
CCN(C1CCCCC1)S(=O)(=O)c1ccc(S(=O)(=O)NCc2ccncc2)cc1,70.0632
CC(C)CCn1nnnc1C(c1ccc(F)cc1)N1CCN(C(=O)c2ccco2)CC1,50.1181
C=CCn1c(NCc2ccccc2)nc2ccccc21,14.3652
c1ccc(Cn2nnc3c(N4CCc5ccccc5C4)ncnc32)cc1,16.5135
COc1cccc(CC(C(=O)Nc2cc(C)ccc2C)c2nn[nH]n2)c1OC,12.7838
CC(C)C(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,3.588
COc1ccc(CCN2C(=O)C(O)=C(C(=O)c3ccco3)C2c2cccs2)cc1OC,10.1496
COc1ccc(C2C(C(=O)N3CCOCC3)=C(C)NC3=C2C(=O)CC(C)(C)C3)c(OC)c1,11.6058
O=c1oc(-c2ccco2)nc2c1cnn2-c1ccccc1,1.2985
CC(C)OC(=O)NCCOC(=O)Nc1cccc(Cl)c1,11.0909
O=c1cc[nH]c2cccc(Cc3ccccc3)c12,13.3932
Cc1ccc(-c2[nH]n3c(=O)c4c(nc3c2C)CCCC4)cc1,46.2414
Cc1cccc(NC(=O)Cn2c(=O)oc3ccccc32)c1,0.2638
CCc1nnc(NC(=O)C2CCN(C(=O)NC3CCCCC3)CC2)s1,5.1303
CN1CCC2(CC1)C1CN(C)CC=C1C(C#N)=C(N)C2(C#N)C#N.O.[OH-],5.5209
Cc1ccc(C(=O)CNc2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccccc2)cc1,60.8712
CCOC(=O)C1=C(N)n2c(s/c(=C\c3ccco3)c2=O)=C(C(=O)OCC)C1c1ccco1,8.8972
CCOCCN1CCC(OC(C)=O)C(C)C1.Cl,1.4604
COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)CN1CCN(C2CCCCC2)CC1,26.037
CCc1c(C)c(C#N)c2nc3ccccc3n2c1Nc1c(C)n(C)n(-c2ccccc2)c1=O,67.8815
CCC(NC(=O)Nc1cc(OC)c(OC)c(OC)c1)(C(F)(F)F)C(F)(F)F,24.8728
COc1ccc(C2CC(=O)C(C=NCCN3CCOCC3)=C(O)C2)cc1,2.295
CC1=CC=CN2CC(O)CN=C12.Cl,3.9126
CCSc1nnc(NC(=O)C(C(F)(F)F)C(F)(F)F)s1,6.7671
COc1ccc(-n2cnnc2)cc1,4.4213
Fc1cc2nc(-c3ccncc3)[nH]c2cc1F,77.3934
Cc1ccc2c(c1)[C@@H]1CN(C)CC[C@@H]1N2S(=O)(=O)c1ccc(F)cc1.Cl,80.1681
Cc1cc(C)c(-n2c(O)c(C=NCCN3CCOCC3)c(=O)[nH]c2=O)c(C)c1,17.8673
O=C1CCCN1CC(CN1CCOCC1)Sc1nnnn1-c1ccccc1,26.1028
CCCCn1c(O)c(C=NCCN2CCCCC2)c(=O)[nH]c1=O,6.6903
CCN(CC)S(=O)(=O)c1cccc2c(N(C)C)cccc12,19.7817
CC1CCCCN1c1nc(-c2ccncc2)nc2ccccc12,96.8108
Cc1ccc(C(=O)c2cn[nH]c2-c2cc(Cl)ccc2O)cc1,88.3848
CSc1nc(Oc2ccc(=O)[nH]n2)nc(N(C)C)n1,4.9632
Cc1cc(-c2cc(-c3ccc(Cl)cc3)nc(N)c2C#N)co1,12.9769
COc1ccc(S(=O)(=O)N2CCC(N3CCCCC3)CC2)cc1,6.5463
COc1ccc(C2/C(=C(/O)c3ccc(Cl)cc3)C(=O)C(=O)N2CCN2CCOCC2)c(OC)c1,4.3459
Cc1cccc(OCC(=O)N2CCC(N3CCCCCC3)CC2)c1,10.9672
Cc1nc2sc(C#N)c(N)c2c2c1CCCC2,29.0088
CC1(C)CC(=O)C2=C(C1)Oc1nc3ccccc3cc1C2C(C#N)C#N,26.2879
Cc1ccc(S(=O)(=O)NCCSc2nnnn2C)cc1,7.9269
COc1cccc(C(=O)Nc2ccc(-c3nnc(-c4ccco4)o3)cc2)c1,77.912
CNc1oc(-c2ccc(Cl)cc2)nc1C#N,23.9122
N#Cc1nc(-c2ccc(F)cc2)oc1N1CCCC1,14.1539
CNc1oc(-c2cccs2)nc1C#N,11.0447
O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nnc(-c3ccco3)o2)c1,40.9793
c1ccc(-n2ncc3c(NCCCN4CCOCC4)ncnc32)cc1,7.5854
N#Cc1nc(-c2cccs2)oc1NCc1ccccc1,43.9655
COc1ccc(CC(=O)Nc2cccc(-c3nnc(-c4ccco4)o3)c2)cc1,88.6949
CCOC(=O)c1ccc(NC(=O)COc2ccccc2OC)cc1,12.2572
S=c1nc(-c2ccccc2)[nH]n1-c1ccccc1,8.5988
CC(=O)c1c(C(C)=O)c(C)n(NC(=O)c2ccncc2)c1C,0.3299
CSc1nc(O)c(Cc2ccccc2)c(=O)[nH]1,0.3031
CN(C)CC(O)COc1cccc(OCC(O)CN(C)C)c1.Cl,2.3389
CN(C)CC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)CN(C)C)cc2)cc1.Cl,2.6223
C/C(=N\O)c1ccc2[nH]ccc2c1,9.2295
O=C1c2ccccc2NC(c2ccc(F)cc2)N1Cc1ccco1,18.816
CCn1c(SCC(=O)Nc2ccccc2C(=O)OC)nnc1-c1ccc(N)cc1,99.5552
CCc1cc2c(=O)c(-c3nc4ccccc4[nH]3)coc2cc1OC(=O)N1CCOCC1,30.9193
Cc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccco2)cc1,32.3328
CCn1cc(C(=O)NCC2CCCO2)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,5.5279
Oc1ccc(Br)cc1CNn1cnnc1,2.7237
CCOC(=O)c1sc2c(c1C)c(=O)c(C(=O)OCC)cn2CC,1.1431
CCOC(=O)c1[nH]c2cc3c(cc2c1NC(=O)CN1CCc2ccccc2C1)OCO3,96.3176
COc1ccc(/C(O)=C2\C(=O)C(=O)N(c3cc(C)on3)C2c2ccc(OC)c(OC)c2)cc1OC,6.9891
Cc1cc2n(n1)SC(Nc1ccccc1)N2,13.2793
COc1cccc(/C(O)=C2/C(=O)C(=O)N(c3cc(C)on3)C2c2cccs2)c1,17.1301
COc1cccc(C2C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2c2cc(C)on2)c1OC,8.8436
CCN1CCCC1Cn1cnc2c([nH]c3ccc(C)cc32)c1=O,0.7643
COCCCNC(=O)c1c(N)n(/N=C/c2ccccn2)c2nc3ccccc3nc12,55.9207
CCO/C(C)=N/n1c2nc3ccccc3nc2c2c(=O)n(CC(C)C)c(C)nc21,16.5992
CCOC(=O)c1c(C)n(C)c2ccc(OC)c(NC(=O)CN3CCCCC3)c12,24.9835
CCOC(=O)c1c(C)n(C)c2ccc(OC)c(NC(=O)CN3CCN(Cc4ccccc4)CC3)c12,29.4602
CCCOc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2CCN2CCOCC2)cc1OC,0.3108
O=C1CC(N(O)C2CC(=O)N(Cc3ccccc3)C2=O)C(=O)N1Cc1ccccc1,50.5543
CCCCCCOC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(CC)CC1,26.7698
Cc1ccc(N2C(=O)c3n[nH]c(C)c3C2c2ccccn2)cc1,35.0434
CCOC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(CCCOC)c1=NC(=O)c1cccnc1,83.0992
CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)c1ccc2c(c1)OCO2,98.9956
CCOc1ccc(/C(O)=C2/C(=O)C(=O)N(CCOCCO)C2c2cccnc2)cc1,2.53
CC(C)[C@H](N)c1nnc(SCc2ccc(Cl)cc2)o1.Cl,95.0208
CCSc1nnc([C@@H](N)Cc2c[nH]c3ccccc23)o1.Cl,34.3648
CCN(CC)CCOC(=O)c1c(C)n(C)c2ccc(OC)cc12.Cl,0.5732
CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1NC(=O)c1nonc1C,55.3823
COc1ccc(C(=O)OC(C)CN2CCN(C)CC2)cc1OC.Cl,3.5199
C[n+]1cccc(CNC(=O)/C=N/O)c1.[I-],0.4208
COc1ccccc1-c1nnc2n1N=C(c1ccc(O)c(O)c1)CS2,40.6404
COc1ccc(-c2cc(-c3cc(F)ccc3O)[nH]n2)cc1OC,20.0015
COC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)c1ccc2c(c1)OCO2,67.3525
COc1cccc(-c2nnc3sc(-c4ccc(C)cc4)nn23)c1,65.3348
CCOCCCn1cnc2c([nH]c3cc(OC)ccc32)c1=O,3.71
CC(C)(C)OC(=O)NCCc1nnc(SCC(=O)Nc2cccc(Cl)c2)o1,66.0312
O=C1C2ON(c3ccccc3)C(c3ccncc3)C2C(=O)N1c1ccccc1,29.3478
CCCn1nc(NC(=O)CC(C)C)c2cc3ccccc3nc21,46.0668
Cn1nnc(NC(=O)c2ccco2)n1,19.2625
