Canonical_Smiles,Inhibition
Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,54.3038
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,7.6153
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,96.4045
NC(Cc1ccc(O)c(O)c1)C(=O)O,59.6171
CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3,79.3283
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,30.0261
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,64.5193
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,66.9741
COc1ccc(-c2oc3cc(OC)ccc3c2C(=O)c2ccc(C#N)cc2)cc1,68.7732
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,39.1206
CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,65.1054
Clc1ccc(-c2nc3sccn3c2C=NOCc2ccc(Cl)c(Cl)c2)cc1,33.6931
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1,56.0433
O=C([O-])c1cc(=O)c2c3nc4ccccc4oc-3cc(=O)c2[nH]1,100.0
C=C1C(=CC=C2CCC[C@]3(C)[C@@H]([C@H](C)C=C[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,23.9611
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,45.9656
CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,27.7069
O=C(CCCN1CCN(c2ccc(F)cc2)CC1)NC1c2ccccc2CSc2ccccc21,59.8476
Nc1ccn(C2CO[C@H](CO)O2)c(=O)n1,11.7612
N#C[C@H]1C[C@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,8.2261
Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,69.4965
Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,100.0
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,5.9525
Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CC(O)COc1ccc(Cl)cc1,87.933
CNC1CCN(C(Cc2cccc(-c3ccncc3)c2)C(=O)c2sc3c(F)ccc(F)c3c2Cl)CC1,100.0
NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,3.2234
CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccccc21,58.6079
CC[C@@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccno1)C(=O)N1CCC2(CCc3ccccc32)CC1,100.0
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc21,81.9141
