,Canonical_Smiles,Inhibition
51,Cc1ccccc1C(=O)N1CC/C(=N\OS(=O)(=O)[O-])c2ccc(Cl)cc21.[K+],19.01275
52,CC(N[NH3+])c1ccccc1.O=S(=O)([O-])O,20.9381
53,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)c1ccccc1,81.67155
54,O=C(CCCN1CCN(c2ccc(F)cc2)CC1)NC1c2ccccc2CSc2ccccc21,48.4854
55,COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,61.58965
56,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C.[Br-],2.1773
57,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1,11.3771
58,Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCC3)c1,15.01885
59,Cc1nnc2n1-c1sc(CCc3ccc(CC(C)C)cc3)cc1C(c1ccccc1Cl)=NC2C,29.76365
60,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-],54.4208
61,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,66.25575
62,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,51.52005
63,CC(COc1ccccc1)NN,1.2754
64,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,72.5444
65,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,3.0318500000000004
66,CC(CCc1ccc2c(c1)OCO2)NN.Cl,33.61265
67,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)CC1)NC(=O)c1ccccc1,87.64484999999999
68,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,14.31585
69,N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4C[C@H]4F)c3c2Cl)CC12CC2,2.2298
70,CC(C(O)c1ccccc1)N(C)CCOC(c1ccccc1)c1ccccc1,56.7442
71,C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,14.88155
72,CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O,1.3359500000000002
73,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,33.06865
74,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3C[C@@H](O)CC[C@]3(C)[C@H]1CC2,10.6894
75,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,12.95015
76,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1.Cl,88.03335
77,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,9.0984
78,CCOS(C)(=O)=O,2.4845
79,CCOP(=S)(CC)Sc1ccccc1,69.25704999999999
80,CO[Si](CCCCl)(OC)OC,69.85220000000001
81,ClC/C=C/CCl,0.10655
82,O=c1[nH][nH]c(=O)c2cc([N+](=O)[O-])ccc12,3.37355
83,Nc1cc(Cl)cc(Cl)c1,6.82965
84,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,2.7750500000000002
85,C=C(Cl)CSC(=S)N(CC)CC,28.0218
86,NCCCCCCNCCCCCCN,49.30455
87,NC(=O)NNc1ccccc1,1.43065
88,Cc1ccc(N)cc1C,11.6868
89,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.O.[Cl-],7.9504
90,CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,29.461399999999998
91,CCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](OCCO)[C@H]1OCCO,31.0268
92,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,10.4468
93,CC(=O)NNc1ccccc1,13.19675
94,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,19.632649999999998
95,Cc1ccc(Cl)cc1N,10.0024
96,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,2.72425
97,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1.[Na+],21.89775
98,CC(CC(=O)O)CC(C)(C)C,5.5116499999999995
99,c1ccc2c(c1)[nH]c1cnccc12,9.19665
100,Cc1ccc(S(=O)(=O)NC2CCCCC2)cc1,21.67655
101,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,22.747549999999997
102,CCO[Si](CCCCl)(OCC)OCC,59.9456
103,S=C=NCCc1ccccc1,24.409399999999998
104,CC(=O)OC(C)OC(C)=O,1.3698
105,Cl.Nc1ccc(Nc2ccccc2)cc1,40.28205
106,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,18.4711
