Canonical_Smiles,Inhibition
CC(=O)N1CCC[C@@]2(CCN(C(=O)Nc3ccccc3)C2)C1,4.1516
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,1.2909
COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,82.4343
COC(=O)NC(/C(C(=O)OC)=C(\C)NCc1ccccc1)c1ccc(Cl)cc1,24.6208
CNC(=O)[C@H](C)[C@@H]1C[C@@]1(C)[C@@H](NC(=O)OCc1ccccc1)c1ccccc1,74.5533
O=C1c2ccccc2[C@@H]([C@@H]2c3ccccc3C(=O)c3cc(Br)ccc32)c2ccc(Br)cc21,4.7521
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,43.5901
CS(=O)(=O)Nc1cccc(-c2nc(NC3CC3)c3ccccc3n2)c1,80.767
NC[C@H]1O[C@H](n2cnc3c(N)ncnc32)C[C@@H]1O,10.4691
COc1ncc2ncc(=O)n(CCc3ccccc3)c2n1,19.8982
C1CCc2nnnn2CC1,29.9992
N#CCCn1c(=O)c(-c2cccs2)nc2cnc(Oc3cccc(Cl)c3)nc21,34.837
C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,5.3152
OCC1O[C@H](Oc2ccc(O)cc2)C(O)C(O)C1O,12.2753
C[C@@H](C(=O)NCc1ccccn1)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1,76.3866
Clc1ccc(-c2nnc(-c3cccc4ccccc34)o2)cc1Cl,4.3521
CCOC(=O)[C@]1(C(NC(=O)OC)c2cccc(F)c2)CCCC1=O,16.9477
CC(=O)c1c(O)cc(O)cc1O,64.0964
CC(=O)NCCNc1ncncc1-c1ccccc1CN(C)C,19.1344
COC(=O)[C@H](C)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1,54.9578
CC1=CC(=O)c2ccccc2C1=O,16.5844
N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],4.5754
Cc1c(OCc2ccccc2)cccc1OCc1ccccc1,25.1726
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2.Cl,26.6031
COc1ccc2[nH]cc(CCNc3nc(-c4cccc(C#N)c4)nc4ccccc34)c2c1,84.7922
NC(=NCCCCCCN=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1,12.1812
O=C(c1cccc(F)c1)N1CCC2(CCCN(Cc3ccncc3)C2)CC1,51.0149
C[N+](C)(C)c1ncnc2c1ncn2[C@@H]1C[C@H](O)[C@@H](CO)O1,7.5893
C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1,90.1522
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,16.5804
O=C(/C=C/c1ccc(O)c(O)c1)OC1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0.2524
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2.4448
COc1ccc(OC)c(-c2ccccc2/C=N/NS(=O)(=O)c2ccc(C)cc2)c1,59.8746
O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CCCN(Cc3nccs3)C2)CC1,38.9597
Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1,79.56
COc1ccc(-c2coc3cc(OC(C)=O)cc(OC(C)=O)c3c2=O)cc1,9.5118
O=C(c1ccco1)N1CCC[C@@]2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,46.3751
CC(=O)Oc1c2c(c(CC=C(C)C)c3c1C(=O)C1=CC4CC5C(C)(C)OC(C/C=C(\C)C(=O)O)(C4=O)[C@]15O3)OC(C)(CCC=C(C)C)C=C2,55.4257
C[C@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,16.0565
Cc1ccc(/C=C/C2=CC3(C)CC2(C)C(c2ccc(C)cc2)CC3=O)cc1,95.299
O=C(/C=C/c1ccc(O)c(O)c1)OC1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,4.9806
O=C(c1ccco1)N1CCC2(CCCN(Cc3ccccc3)C2)CC1,16.4241
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl,16.3778
CN(C)C(=O)c1ccc(-c2nc(NCc3ccccc3)c3ccccc3n2)cc1,35.5275
Nc1nc2c(c(=O)[nH]1)N[C@H](CCNc1ccc(C(=O)O)cc1)CN2,0.7444
CC(=O)CC1CCCCN1.Cl,7.8115
C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(Cl)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO,40.6631
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,31.1904
C=CCOC(=O)C(C(C)=O)C(NC(=O)OC)c1ccc(F)cc1,78.0165
C[Si](C)(C)Cl,2.7777
CC(C)NC(=O)N1CC[C@@]2(CCCN(C(=O)Oc3ccccc3)C2)C1,81.1434
CN1CCC2(CC1)CCN(C(=O)Oc1ccccc1)CC2,1.6274
COCCn1c(=O)c(-c2cn(C)c3ccccc23)nc2cnc(Oc3cccc(Cl)c3)nc21,14.9307
C=CCOCC/C=C1/c2ccccc2C(OC)C1C,43.4923
Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)c2ccc(C)c(C)c2)cc1,2.6465
C[C@@H](Cc1ccc(OCC(=O)[O-])cc1)NC[C@H](O)c1cccc(Cl)c1.[Na+],18.4925
c1ccc(CNc2ncncc2-c2ccoc2)cc1,88.9146
O=C1NC(=S)NC(=O)C1=Cc1cccc2cc3ccccc3cc12,17.4534
O=C(Nc1ccccc1)N1CCC2(CC1)CCN(S(=O)(=O)c1ccccc1)CC2,22.7322
CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC,3.5165
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl,84.9602
CCOC(=O)[C@]1(C(NC(=O)OC)c2ccco2)CCCC1=O,19.8156
CN1CCC(c2c[nH]c3ccc(O)cc23)CC1,15.0066
O=C(O)CCNc1ccccc1C(=O)O,9.6867
COc1ncc2nc(-c3ccc(F)cc3)c(=O)n(-c3ccccc3)c2n1,4.2165
O=c1c(CCc2ccccc2)nc2cncnc2n1Cc1ccccc1,65.5197
CC1(C)CC2C1CC[C@]1(C)CCC3C(C(=O)O)CC(=O)O[C@]32C1,1.8818
O[C@H](C[C@@H]1CCCCN1)c1ccc2c(c1)oc1ccccc12,5.0008
Cc1ccccc1-c1nc(-n2ccnc2)c2ccccc2n1,95.7122
CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl,8.6986
COC(=O)C(C(C)=O)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,19.6031
O=C(O)CCC(=O)c1ccc2sc3ccccc3c2c1,21.1411
CN(Cc1ccco1)c1cc(-c2ccc3c(c2)OCO3)ncn1,79.7292
NC(N)=NS(=O)(=O)c1ccc(N)cc1,35.5099
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,21.0977
CC1CCC(C(C)C)C(=O)C1,3.1893
Cc1ccc(-c2nnc(-c3ccc4ccccc4c3)o2)cc1,43.8646
COc1ccc(C(=O)N2CCC3(CCN(Cc4ccccc4)CC3)CC2)cc1,1.2103
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,13.448
CN(C)c1ccc(-c2nccc(NCc3ccccc3)n2)cc1,59.7063
O=CNc1ncn[nH]1,14.111
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,34.1246
COc1ccc(CNc2ncncc2-c2ccc(N(C)C)cc2)c(OC)c1,67.2468
